Gatsibo,Muhanga,Gicumbi,Kicukiro,Rulindo,Nyaruguru,Rwamagana,Kamonyi,Gasabo,Ngororero,Rubavu,Nyamagabe,Burera,Nyabihu,Gakenke,Nyamasheke,Kirehe,Nyagatare,Bugesera,Karongi,Huye,Musanze,Rusizi,Ngoma,Nyarugenge,Gisagara,Kayonza,Ruhango,Nyanza,Rutsiro
43453.844,43427.707,43453.844,43421.18,43447.31,43355.86,43421.18,43421.18,43434.242,43434.242,43453.844,43381.984,43473.438,43453.844,43447.31,43388.52,43401.582,43479.973,43401.582,43408.117,43375.453,43466.906,43368.92,43401.582,43421.18,43362.387,43434.242,43401.582,43388.52,43427.707
43449.406,43422.44,43449.406,43415.7,43442.668,43348.285,43415.7,43415.7,43429.184,43429.184,43449.406,43375.254,43469.637,43449.406,43442.668,43381.996,43395.473,43476.375,43395.473,43402.22,43368.508,43462.89,43361.77,43395.473,43415.7,43355.027,43429.184,43395.473,43381.996,43422.44
43445.0,43417.2,43445.0,43410.246,43438.05,43340.75,43410.246,43410.246,43424.15,43424.15,43445.0,43368.547,43465.85,43445.0,43438.05,43375.5,43389.402,43472.8,43389.402,43396.348,43361.598,43458.9,43354.65,43389.402,43410.246,43347.7,43424.15,43389.402,43375.5,43417.2
43440.62,43411.984,43440.62,43404.83,43433.46,43333.242,43404.83,43404.83,43419.145,43419.145,43440.62,43361.88,43462.094,43440.62,43433.46,43369.04,43383.355,43469.254,43383.355,43390.51,43354.723,43454.938,43347.562,43383.355,43404.83,43340.402,43419.145,43383.355,43369.04,43411.984
43436.27,43406.81,43436.27,43399.44,43428.902,43325.78,43399.44,43399.44,43414.17,43414.17,43436.27,43355.246,43458.367,43436.27,43428.902,43362.613,43377.344,43465.73,43377.344,43384.71,43347.883,43451.0,43340.52,43377.344,43399.44,43333.152,43414.17,43377.344,43362.613,43406.81
43431.953,43401.664,43431.953,43394.094,43424.383,43318.37,43394.094,43394.094,43409.24,43409.24,43431.953,43348.664,43454.67,43431.953,43424.383,43356.234,43371.38,43462.24,43371.38,43378.95,43341.094,43447.1,43333.52,43371.38,43394.094,43325.945,43409.24,43371.38,43356.234,43401.664
43427.676,43396.566,43427.676,43388.79,43419.9,43311.01,43388.79,43388.79,43404.344,43404.344,43427.676,43342.13,43451.008,43427.676,43419.9,43349.906,43365.457,43458.78,43365.457,43373.234,43334.348,43443.23,43326.57,43365.457,43388.79,43318.793,43404.344,43365.457,43349.906,43396.566
43423.434,43391.51,43423.434,43383.53,43415.457,43303.715,43383.53,43383.53,43399.492,43399.492,43423.434,43335.645,43447.38,43423.434,43415.457,43343.625,43359.59,43455.36,43359.59,43367.57,43327.66,43439.395,43319.68,43359.59,43383.53,43311.695,43399.492,43359.59,43343.625,43391.51
43419.24,43386.508,43419.24,43378.32,43411.055,43296.48,43378.32,43378.32,43394.688,43394.688,43419.24,43329.22,43443.785,43419.24,43411.055,43337.406,43353.77,43451.977,43353.77,43361.957,43321.035,43435.605,43312.85,43353.77,43378.32,43304.664,43394.688,43353.77,43337.406,43386.508
43415.09,43381.55,43415.09,43373.164,43406.703,43289.316,43373.164,43373.164,43389.934,43389.934,43415.09,43322.86,43440.24,43415.09,43406.703,43331.242,43348.01,43448.63,43348.01,43356.4,43314.473,43431.855,43306.086,43348.01,43373.164,43297.7,43389.934,43348.01,43331.242,43381.55
