system:index,Bugesera,Burera,Gakenke,Gasabo,Gatsibo,Gicumbi,Gisagara,Huye,Kamonyi,Karongi,Kayonza,Kicukiro,Kirehe,Muhanga,Musanze,Ngoma,Ngororero,Nyabihu,Nyagatare,Nyamagabe,Nyamasheke,Nyanza,Nyarugenge,Nyaruguru,Rubavu,Ruhango,Rulindo,Rusizi,Rutsiro,Rwamagana,date,.geo
20120206,2.2315275154253207E7,2.2480515723752983E7,2.2680394286258157E7,2.2371127061512936E7,2.2184408617764182E7,2.2483661090214387E7,2.150290877718638E7,2.2077047925109718E7,2.2791121314529836E7,2.3076773902751457E7,2.216216463675082E7,2.2375467039465994E7,2.238828039044457E7,2.3057643188341577E7,2.2515342223855503E7,2.2139580622713417E7,2.316248422870367E7,2.2788268469611585E7,2.2451585620328862E7,2.279926145859185E7,2.269906820757132E7,2.2863572287447512E7,2.2562579442954607E7,2.0770169032994058E7,2.2682029319003172E7,2.3052058183487967E7,2.2546860166691847E7,2.2250343564833086E7,2.2761192847018532E7,2.214705440561569E7,2012-02-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
20120207,2.197787214560755E7,2.201806927844483E7,2.1976942233402334E7,2.2005456705788456E7,2.213196052997003E7,2.20971398028119E7,2.3030598738694213E7,2.3652768320835996E7,2.239782777667107E7,2.2707130743975468E7,2.2065587039874837E7,2.1999398890564095E7,2.2032703467106387E7,2.2523947830422763E7,2.186082949735871E7,2.1725622066248592E7,2.2276393463215295E7,2.1762501934137892E7,2.237622688625729E7,2.3973816837731674E7,2.274380403010517E7,2.3337231201521777E7,2.2164973784756545E7,2.367269278140082E7,2.1302389924167935E7,2.3080559996291675E7,2.2043075682953276E7,2.3122533190451466E7,2.1421075375586573E7,2.184264169386029E7,2012-02-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
20120208,1.906976457248896E7,1.9514106099903557E7,1.8690336452107716E7,1.8438724335459065E7,1.8934963834419288E7,1.9248780776589293E7,1.8093426653766666E7,1.8195312231905427E7,1.8741542632151622E7,1.8069204494936544E7,1.8172618290501222E7,1.8646504297617096E7,1.831473853963427E7,1.8649274806816828E7,1.8842502723518375E7,1.8580319653198186E7,1.845778427505225E7,1.8370192136070594E7,2.0830577346275806E7,1.8193543851613488E7,1.7880346237329118E7,1.9005957110747658E7,1.8685111324394263E7,1.6588006624319395E7,1.7639940648940466E7,1.8923075336755462E7,1.8712469166101497E7,1.7445175233367156E7,1.74547002790104E7,1.8349814370328847E7,2012-02-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
20120209,2.4623971017357882E7,2.4990051993939403E7,2.409493083454888E7,2.51166693425438E7,2.5030292463651486E7,2.5655685824438307E7,2.4552810772879984E7,2.4959505670094132E7,2.4612937023000855E7,2.2941765250315115E7,2.3897840369953293E7,2.5029501024622485E7,2.3528882718235306E7,2.396432064453813E7,2.3700551191707857E7,2.4145038384392664E7,2.2988793051178012E7,2.2743458707604725E7,2.5910308374969248E7,2.4555905928032983E7,2.247158349461257E7,2.4946704549446713E7,2.4920389382674683E7,2.450009617644784E7,2.185311407276976E7,2.4650845236020636E7,2.50015856479318E7,2.2777557890848625E7,2.1535707776654117E7,2.4774919393876303E7,2012-02-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
20120210,2.3598353585354477E7,2.42517574921338E7,2.358341392849635E7,2.3846226579986773E7,2.4367537851547815E7,2.435672011482089E7,2.3483096160538003E7,2.3623543202478487E7,2.3654799440993197E7,2.247486104600912E7,2.371341736188582E7,2.3796565517679177E7,2.2911291719420195E7,2.3381700309827786E7,2.3607848789280683E7,2.328185358553109E7,2.2911413375779252E7,2.290640270011445E7,2.511740416440822E7,2.3385256504204486E7,2.2282090973098326E7,2.374386509684042E7,2.376742492307694E7,2.3196643821750104E7,2.1979598512313172E7,2.363725066433963E7,2.391448689423539E7,2.2596341857283276E7,2.1570537282803614E7,2.3689529686079778E7,2012-02-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
20120211,2.1074328050196774E7,2.001463175558895E7,1.878027364680886E7,2.1013279032738566E7,2.2512057081126515E7,2.1459018238226928E7,1.964172395864457E7,1.9357789768402718E7,1.9644013117812965E7,1.80243337028826E7,2.2234203202559408E7,2.106602025920133E7,2.2018488703233417E7,1.847854556961341E7,1.840980789858562E7,2.1797699290056452E7,1.744228599277028E7,1.741556496625762E7,2.3322657227332905E7,1.8932624917269323E7,1.8996697861117344E7,1.9822464791425973E7,2.0418250084921207E7,1.8180568816444457E7,1.720557124095287E7,1.9380612874694355E7,2.0226330343021113E7,1.9185392422995463E7,1.7118177888379965E7,2.1767453715348188E7,2012-02-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
20120212,1.856082679115458E7,1.693224699798178E7,1.5959647085093908E7,1.7359658868202154E7,1.8192400116861183E7,1.7405924434536885E7,1.9812856498574156E7,2.0015351827792503E7,1.7405779021089017E7,1.7801195825199198E7,1.7745420652584124E7,1.775137843825705E7,1.7099244169023257E7,1.6738692799759133E7,1.6143808013351025E7,1.7729576357386883E7,1.5839415308915723E7,1.5390704263158662E7,1.8955699890164025E7,1.986122045806027E7,1.903142631092597E7,1.9699177625223268E7,1.7533984201658446E7,1.907488458387731E7,1.5354449674823081E7,1.861931965852202E7,1.6721254599881941E7,1.9097978715213913E7,1.5797178396338418E7,1.7727347928877097E7,2012-02-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20120213,1.283864727342738E7,1.3862196948203675E7,1.305801844340908E7,1.4145778601068612E7,1.4956090233207796E7,1.4838594704217866E7,1.3900649417814458E7,1.432264516618549E7,1.3371787112396142E7,1.3439058566174647E7,1.3760112776503814E7,1.3719527843256239E7,1.254219896912726E7,1.2977662142719505E7,1.2653567679116266E7,1.2715148933235178E7,1.2225937110454917E7,1.1876916409863377E7,1.5564883188680448E7,1.499254328189943E7,1.5194637519899638E7,1.3823616495928723E7,1.3644665371794878E7,1.4625353824727757E7,1.1482185790112184E7,1.355049291862195E7,1.406353097291361E7,1.5870690596967937E7,1.1781820276298609E7,1.3791969404746115E7,2012-02-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20120214,2.261331167536477E7,2.2094974265048094E7,2.2052446374683216E7,2.262572666797899E7,2.2693314799963728E7,2.2642388985155784E7,2.1659139262460314E7,2.1581967241316963E7,2.247064553828362E7,2.067433592331163E7,2.225158428337482E7,2.268304194902793E7,2.2128941330904305E7,2.2101034304660965E7,2.148177136801241E7,2.242251241283493E7,2.1580455113517206E7,2.1178743532011077E7,2.3086460043679792E7,2.10555345631995E7,1.955298496975973E7,2.2209285389809065E7,2.262207855257587E7,2.0161088542685006E7,2.016281173940698E7,2.2253857544857807E7,2.2477713210197557E7,1.8926425084904373E7,1.9989552766716395E7,2.2517674228655133E7,2012-02-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
20120215,1.719594500669007E7,1.849632128634993E7,1.762857590215696E7,1.8114481631521188E7,1.8985121036989298E7,1.869383829323181E7,1.5631514099509325E7,1.612170873329539E7,1.7439796027284738E7,1.6341136060439726E7,1.8484230411167376E7,1.7864509839522023E7,1.7611542228714928E7,1.7132309409032904E7,1.791173387480275E7,1.7499772213810846E7,1.675873506036483E7,1.7093400509902492E7,1.9449454129888274E7,1.6559663716177613E7,1.6265543738528848E7,1.692697977319228E7,1.7722286289755367E7,1.5077754876500433E7,1.657364621461874E7,1.709746181862754E7,1.81150045422221E7,1.656473101603944E7,1.5934794348405834E7,1.8072664698848955E7,2012-02-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20120216,2.3148720026905615E7,2.2047753144681107E7,2.20987953624653E7,2.281851043720349E7,2.2687333729697544E7,2.270751961659117E7,2.329306869554926E7,2.4185007320480973E7,2.3191638585406434E7,2.3499946778067034E7,2.250096721378387E7,2.2977533303008378E7,2.2393576824282154E7,2.3026193185017485E7,2.1426668699261338E7,2.2557186225607928E7,2.245777946764755E7,2.142687362341539E7,2.290235023227683E7,2.4773280383253362E7,2.368850076762407E7,2.446196736078826E7,2.3056864499294292E7,2.322962495716805E7,2.102318300862755E7,2.4067232428337652E7,2.2552584314575583E7,2.382024865676221E7,2.179996775316735E7,2.2708227122279674E7,2012-02-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
20120217,2.242951591870802E7,2.1177716731053215E7,1.9629169840325825E7,2.17821826018669E7,2.2444475659644548E7,2.1959042698696833E7,2.0971958267886616E7,2.038948080534549E7,2.046308806966343E7,1.824796290519777E7,2.237890132137961E7,2.204762300109692E7,2.326792110020801E7,1.9106008253390357E7,1.9971189781315997E7,2.3104538802165493E7,1.8017699793400005E7,1.8616953232647095E7,2.285941538140997E7,1.9302228951040864E7,1.8527141590267275E7,2.0767913056359738E7,2.1319770239002608E7,1.930820796207153E7,1.8601394880559083E7,2.0155356847678244E7,2.091027820511799E7,1.8890191176393952E7,1.7773545713575184E7,2.2625008879951485E7,2012-02-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
20120218,1.4025321730271848E7,1.6230204292200888E7,1.4267557491450775E7,1.6341946949499717E7,1.859811948310058E7,1.80020053198935E7,1.433264756676095E7,1.4768578709944077E7,1.4451737805525383E7,1.273634843192091E7,1.5806975483352305E7,1.564737981711671E7,1.239483581490843E7,1.335099666397688E7,1.370365095549415E7,1.3614643437241597E7,1.2005214919431068E7,1.2078237952218827E7,2.054241733114102E7,1.4676193595547564E7,1.3616845203698816E7,1.4285926065754969E7,1.529268181651377E7,1.5308561838649321E7,1.1630740994474059E7,1.3978414590446685E7,1.6216351717096142E7,1.462611323874563E7,1.1381122580852754E7,1.5796358922252238E7,2012-02-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
20120219,1.5589530920772538E7,1.5460084811541408E7,1.46982202679534E7,1.626147551611529E7,1.7873440289376628E7,1.6685111258984543E7,1.5542177145171162E7,1.6067317288676027E7,1.5332105636907568E7,1.53512144081958E7,1.802710679201941E7,1.6034742595140837E7,1.765257326819121E7,1.4813938137673143E7,1.435174499262805E7,1.655128700121652E7,1.4113524699085359E7,1.3733827523781927E7,1.8012333902333703E7,1.6657589042223386E7,1.669599791302306E7,1.595848940023661E7,1.56938069532463E7,1.5789566731948398E7,1.3561021686954645E7,1.5613784267323729E7,1.576289200126303E7,1.7114953017917495E7,1.390001485953245E7,1.6788756512265723E7,2012-02-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20120220,1.944237361744869E7,1.844849576766216E7,1.85236763761994E7,1.93352286647496E7,1.9265599107522577E7,1.9345399973758705E7,2.010117351965595E7,2.0708152277295128E7,1.9504343166930225E7,2.013117632428231E7,1.902306757664698E7,1.9385164238709822E7,1.9320703508208595E7,1.936272115814766E7,1.7778365253039546E7,1.9153554501330987E7,1.887596243235652E7,1.7905230207090393E7,1.949653796216508E7,2.1307130894949965E7,2.0885706793226335E7,2.0663640229081113E7,1.9428057178252187E7,2.0107745581696283E7,1.7858221191346947E7,2.0283932917265538E7,1.9087211699441254E7,2.0979448679682557E7,1.8600154995055933E7,1.9247703323897563E7,2012-02-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
