system:index,Bugesera,Burera,Gakenke,Gasabo,Gatsibo,Gicumbi,Gisagara,Huye,Kamonyi,Karongi,Kayonza,Kicukiro,Kirehe,Muhanga,Musanze,Ngoma,Ngororero,Nyabihu,Nyagatare,Nyamagabe,Nyamasheke,Nyanza,Nyarugenge,Nyaruguru,Rubavu,Ruhango,Rulindo,Rusizi,Rutsiro,Rwamagana,date,.geo
2021_09_22,15155.066396361246,14652.281453160154,14906.24736421185,15108.90561715385,15175.016123691328,14888.34191597112,15035.1425825376,14989.529360076409,15087.55353475572,14862.06469584893,15249.011952446099,15185.609465241894,15212.412319196746,15023.50359501459,14776.068949161652,15068.813408535218,14832.877532433728,14675.11437726596,15230.08466760339,14852.820917522622,14802.98522809491,15167.693564796344,15125.50107660089,14743.983343350237,14768.66993319996,15116.981824720955,14919.851525843482,14951.983051371893,14751.658183471456,15140.901595958892,2021-09-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_09_30,15113.7432668528,14865.283643128398,14976.85474869295,15001.955442401977,15175.541939364708,14885.262867193993,15047.353665078748,14892.122493777646,15058.797214962924,14868.05501840514,15141.732481558114,15233.570595854932,15244.982590441437,14898.241867791176,14863.825147592119,15087.40769569042,14842.939166656635,14706.484143594476,15331.386651012861,14784.438571632849,14908.888653901577,14953.711058153272,15139.398539556734,14713.613757441362,14785.071744696732,14986.956913871738,14853.234513775244,15136.805986568817,14809.859876380857,15030.33269800646,2021-09-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_10_08,15370.181690923495,14878.214539645953,15018.338151964123,15244.138452353607,15244.133078573359,15025.627282466487,15268.661940095346,15141.288566474912,15284.269458171815,15024.733939534737,15322.792759546794,15478.448055743924,15382.384595896503,15167.73309580604,14935.07879022114,15205.698193021019,15036.269696322506,14869.07480800928,15347.816139838349,14908.790950203478,14926.991420880195,15205.172385241918,15369.098073916764,14918.992162596174,14946.172058374304,15208.544562362355,15104.641856154307,15060.941127109445,14887.228805942941,15254.585017413474,2021-10-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_10_16,15260.280933649983,14863.020748399496,14954.442183299729,15297.122231533578,15216.220329930558,15149.700832075434,15103.641598932718,15095.413708192611,15279.721611792482,14782.452836014454,15300.392343879115,15609.764634475316,15371.289100738859,14945.309495467445,14873.913547672559,15308.355097879281,14825.87853717515,14686.11873207781,15253.192538634386,14836.691026593007,14752.683559851543,14999.299889652833,15497.53559366069,14997.67110756276,14969.86411677569,15142.307685077256,15073.231529824889,14947.014705337628,14672.035353970121,15358.632600483648,2021-10-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_10_24,15271.522950734927,14682.480775866758,14886.572304888097,15169.674720195164,15226.80120832601,14906.988584771058,15034.63510405988,14986.37328343791,15189.189277744437,14883.566113201265,15331.476651966024,15400.342156335497,15288.02572959702,14989.393362512548,14804.85306337563,15139.410082589175,14888.80557389806,14728.289509943332,15242.010295736887,14864.226300648825,14884.666633214161,15059.71186946923,15296.478856497584,14849.001616035439,14781.398696712955,15091.083438669317,14951.143334352215,14983.159578377228,14827.931417786716,15184.247717701839,2021-10-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_11_01,15294.219280691443,14769.299460842554,14959.390910663175,15175.852261948196,15101.780246319187,14964.113748559757,15155.669325363044,15120.955795387346,15226.617372449578,14913.7628647152,15149.053107693273,15221.541223685143,15247.589664276142,15042.072160270516,14779.612100136126,15100.888245327928,14838.258613778546,14730.621834003467,15139.428105751958,14863.8216508757,14867.382133570754,15140.805029763116,15202.304606467354,14892.178828477552,14880.694480506696,15193.670323017439,14960.679282236599,14961.600186030853,14789.584519383974,15108.293902759717,2021-11-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_11_09,15285.113990259946,14758.541594693575,14877.576593120943,15226.059691991977,15150.951794304783,14945.776295114916,15111.24116870855,14957.648832586816,15083.018884852316,14829.384953276913,15273.796227414414,15250.485015995488,15296.159296117883,14933.257853944617,14706.606264156837,15156.188036643513,14787.59117101043,14613.679555793418,15207.434463450792,14513.347915005932,14786.017424833535,14979.761725270584,15189.90015632835,14701.997311149556,14900.024249868737,14933.325342635602,14949.72161175375,14817.651500539863,14778.083182477667,15151.294596501692,2021-11-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_11_17,15198.868619524925,14886.926400999271,14995.948701829739,15300.41888165977,15056.154649953842,14986.494374865346,14947.165016099136,14904.341826247522,15165.222412925756,14874.340860668108,15175.22568319448,15439.23637383965,15174.403643631606,15050.003780307376,14814.26548969091,15001.889119813663,14946.7563992878,14807.98476007109,15061.926622823716,14803.072326931253,14787.62249203673,15083.84320570364,15293.456744240924,14721.184752878868,14914.45883736376,15107.86948546615,15009.558642952505,14805.997419898362,14806.16894949798,15151.435331845592,2021-11-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_11_25,15165.169297680415,14668.530246356251,14611.229467321496,15026.829154271143,14827.468178115669,14871.18786831631,,14860.581541359286,14990.6062715973,14739.420259132023,14775.857706966332,,,14868.194889816237,14732.565021324195,,14785.138860983132,14571.45164255079,14963.431359235514,14731.314146912586,14654.178046913836,14993.230981624296,,14696.180460485377,14763.67962760132,14991.283590445382,14949.544482301728,14596.301359864778,14676.8629564626,15013.012755779962,2021-11-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_12_03,15175.883709366646,14689.567674289654,14821.222472813055,15084.894896766651,15007.925599509837,14729.576778376875,15014.568318936876,14910.793937040857,15049.127362042878,14845.033474443393,15139.021555802186,15165.750127792644,15079.220271482152,14901.087084415862,14732.843283006803,15028.201192647597,14739.644444787937,14587.091861029388,15055.99184481459,14876.833666345981,14772.676237196178,14998.720494385647,15106.609422953692,14766.976725660303,14796.715357453651,15024.401506303398,14898.840106493668,14819.047062143154,14740.889266346938,15103.981935582598,2021-12-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
