system:index,Bugesera,Burera,Gakenke,Gasabo,Gatsibo,Gicumbi,Gisagara,Huye,Kamonyi,Karongi,Kayonza,Kicukiro,Kirehe,Muhanga,Musanze,Ngoma,Ngororero,Nyabihu,Nyagatare,Nyamagabe,Nyamasheke,Nyanza,Nyarugenge,Nyaruguru,Rubavu,Ruhango,Rulindo,Rusizi,Rutsiro,Rwamagana,date,.geo
2012_07_11,5492.191907742386,5921.412438025409,6032.081538892497,5742.074073905632,5920.696748168705,6409.588225445585,5892.331126010031,5792.004243744839,5601.918004313999,5186.465637834121,5516.487833828798,5249.351925359089,5836.135247913597,5897.398749981133,5582.207443816835,5798.3281297833655,5812.608389297572,6031.171746615438,5664.281717628438,6268.98003426635,5684.95938239649,6035.581828838027,5455.569482931434,6520.632353782751,5761.355697257404,5593.18020699969,5770.246019291854,6573.073973782698,3852.6184654896483,5930.549688416795,2012-07-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_07_27,4992.386140782013,5627.786828529526,5761.532080830276,5363.86434565094,5414.603262829999,5991.1043093829485,5379.93559471749,5379.10526032837,5230.926337918566,4929.061851075702,4832.789559347928,4836.14871477093,5293.468317830621,5548.86490738085,5184.221005366335,5127.2665290558425,5446.116281049694,5573.870796701053,5076.105465271626,6067.153312785467,5189.416107736058,5586.883820094647,5147.815702199165,6197.3233418979735,5293.192146373773,5258.046446276604,5424.373849319835,6344.858787410586,3570.1267195150435,5361.863811036897,2012-07-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_08_12,4801.461909421942,5253.473816798711,5297.26188713051,5057.992586696992,4806.501812594822,5354.215541737456,5145.421260389815,4984.91326531469,5126.988947211126,5196.299411598523,4648.77355490754,4625.0506491912165,4791.8307868138445,5254.719761771767,5382.537285015704,4818.846498100023,5188.138777377261,5699.455575818614,4520.740266275408,5771.085955722175,5760.865069284918,5241.595788867467,5043.868411355461,5980.729803498217,5524.6049702839055,5055.130627813811,5097.228410228881,6169.812363906639,4401.22364257831,4936.7992919475855,2012-08-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_08_28,4017.0203014123135,5123.36730262417,5098.907326976527,5080.99888345651,4621.583743616589,5209.005009875744,4644.206721885952,4357.89911949854,4626.865829410387,4376.585400365571,4096.843132903478,4829.820260845678,4950.937577632829,4562.517279850242,4614.585116078766,4929.229503565572,4994.2838794116005,4824.6395274776105,4436.666639810148,4976.793664753541,4527.468005076021,4921.202422608297,4713.902843287546,5104.602146689134,5367.611455065593,5022.038538370728,5157.282632859468,5590.326256444265,3167.73468912279,4778.192088969693,2012-08-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_09_13,4980.4872011903635,5290.707783751138,5289.922167862036,4821.8161023308685,5086.238594568732,5481.834201095168,5265.658613049901,4959.803218593175,5078.58488796309,4593.323881101145,4270.81972208277,4772.492011528191,4448.818807124817,5280.846830417131,5544.085627535997,4693.4787205858665,5159.385931065131,5638.212907264763,5499.41677544677,5778.649976067251,5659.719768942966,5444.321882008011,5023.718670774128,5903.440746355665,5225.796848276928,4972.040122758889,5086.366161485814,6604.890952364186,4128.750870404407,5067.665448820342,2012-09-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_09_29,4965.779384931299,5131.593146944883,5150.98171029349,5031.284532120521,5184.430575728445,5632.079531631063,4827.033183700658,4236.041647836373,4712.9477067423295,4463.503612418154,4388.7281703839,5066.988664729718,4384.043525235242,4793.523880191429,5257.0526991977695,4735.193425744177,4857.735540445763,5477.5379002131085,5519.052479126766,4423.107532778932,4648.98731829587,5045.896669022669,4867.51312570014,4347.211112113394,5571.355300881235,4667.834325395279,5139.714111683521,5842.034128930163,3695.2324677589536,5619.161109884344,2012-09-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_10_15,6014.589665289913,5277.685458608938,6038.875182356239,5584.553289368962,5695.311769515123,5867.986684431685,5535.44905007385,5159.45043840269,5600.860596681945,4484.68079999048,4790.36788510161,5662.18707580426,4443.3560440052215,5503.213410528549,6543.215535393975,5287.084878018033,5584.787840439133,6074.721041218682,5718.587600709887,4883.02550829147,4534.724648348193,5775.7725645209575,5771.993337656986,5331.77292448081,5092.959159213146,5640.314783308406,5543.5290565024825,5833.469485766189,3517.456570362431,6397.745062417017,2012-10-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_10_31,6321.162721449739,4119.595175659144,4699.861541106719,5020.959076201755,6392.395623986045,5403.416102416274,5390.963040831013,3986.84931649516,6316.716001384712,4162.233703202656,4836.709547305623,5314.024218398261,5769.380421693214,5442.326413590281,4558.402152765401,5952.879872220324,5760.007384684645,5461.031800683537,6433.367804779112,2892.1118893006555,3559.4263320920363,5573.866531607723,5761.189642080432,3356.414764835067,4848.216941542882,5866.604757677913,4697.820630580556,4241.011099402456,3916.234709843646,5391.633650858292,2012-10-31,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_11_16,6535.654035604464,4700.29920670064,5781.513796526881,5904.687680340527,6593.618652413643,5640.08964117071,6443.221814380278,5322.414718955045,5759.270283184944,4495.00790743375,5366.7504871509755,6335.831740017657,6250.2325390782635,5198.547785568908,5615.17257944758,6599.397960148395,5162.243824452858,5332.881282409165,6939.339266438544,4277.00139215206,4768.457909373335,5874.448242512744,6002.722872203178,4487.137667598944,3829.5541851219227,5781.108969180524,5658.933481545975,5563.144174002489,2530.71071615584,6619.455822063655,2012-11-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_12_02,6309.121495241594,6024.17994123816,6544.309550322627,6124.33058106827,6786.4986539415695,6164.163574884205,6720.387565607067,6378.986668996013,6149.32705084525,5487.941940118593,5821.709748711807,6115.964274650316,5834.782485735389,5471.731721714142,6279.663015777834,6263.842957739354,6152.12757809682,6393.195575373946,7187.8681393437155,5389.19093405979,5566.536301025581,6422.950820125181,6110.0807190096675,5153.810111503963,5080.5524162702495,5794.578278696839,5757.7126007355,5592.184554770913,3543.3965541554867,6672.302618880667,2012-12-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
